X_Axis(um/deg),Y_Axis(um),Z_Altitude(um),Intensity(%)
1e+07,0,0,0
9.99962e+06,87265.4,0,0
9.99848e+06,174524,0,0
9.99657e+06,261769,0,0
9.99391e+06,348995,0,0
9.99048e+06,436194,0,0
9.9863e+06,523360,0,0
9.98135e+06,610485,0,0
9.97564e+06,697565,0,0
9.96917e+06,784591,0,0
9.96195e+06,871557,0,0
9.95396e+06,958458,0,0
9.94522e+06,1.04528e+06,0,0
9.93572e+06,1.13203e+06,0,0
9.92546e+06,1.21869e+06,0,0
9.91445e+06,1.30526e+06,0,0
9.90268e+06,1.39173e+06,0,0
9.89016e+06,1.47809e+06,0,0
9.87688e+06,1.56434e+06,0,0
9.86286e+06,1.65048e+06,0,0
9.84808e+06,1.73648e+06,0,0
9.83255e+06,1.82236e+06,0,0
9.81627e+06,1.90809e+06,0,0
9.79925e+06,1.99368e+06,0,0
9.78148e+06,2.07912e+06,0,0
9.76296e+06,2.1644e+06,0,0
9.7437e+06,2.24951e+06,0,0
9.7237e+06,2.33445e+06,0,0
9.70296e+06,2.41922e+06,0,0
9.68148e+06,2.5038e+06,0,0
9.65926e+06,2.58819e+06,0,0
9.6363e+06,2.67238e+06,0,0
9.61262e+06,2.75637e+06,0,0
9.5882e+06,2.84015e+06,0,0
9.56305e+06,2.92372e+06,0,0
9.53717e+06,3.00706e+06,0,0
9.51056e+06,3.09017e+06,0,0
9.48324e+06,3.17305e+06,0,0
9.45519e+06,3.25568e+06,0,0
9.42641e+06,3.33807e+06,0,0
9.39693e+06,3.4202e+06,0,0
9.36672e+06,3.50207e+06,0,0
9.3358e+06,3.58368e+06,0,0
9.30418e+06,3.66501e+06,0,0
9.27184e+06,3.74607e+06,0,0
9.23879e+06,3.82683e+06,0,0
9.20505e+06,3.90731e+06,0,0
9.1706e+06,3.98749e+06,0,0
9.13545e+06,4.06737e+06,0,0
9.09961e+06,4.14693e+06,0,0
9.06308e+06,4.22618e+06,0,0
9.02585e+06,4.30511e+06,0,0
8.98794e+06,4.38371e+06,0,0
8.94934e+06,4.46198e+06,0,0
8.91006e+06,4.5399e+06,0,0
8.87011e+06,4.61749e+06,0,0
8.82948e+06,4.69472e+06,0,0
8.78817e+06,4.77159e+06,0,0
8.7462e+06,4.8481e+06,0,0
8.70356e+06,4.92424e+06,0,0
8.66025e+06,5e+06,0,0
8.61629e+06,5.07538e+06,0,0
8.57167e+06,5.15038e+06,0,0
8.5264e+06,5.22499e+06,0,0
8.48048e+06,5.29919e+06,0,0
8.43391e+06,5.373e+06,0,0
8.3867e+06,5.44639e+06,0,0
8.33886e+06,5.51937e+06,0,0
8.29037e+06,5.59193e+06,0,0
8.24126e+06,5.66406e+06,0,0
8.19152e+06,5.73576e+06,0,0
8.14115e+06,5.80703e+06,0,0
8.09017e+06,5.87785e+06,0,0
8.03857e+06,5.94823e+06,0,0
7.98635e+06,6.01815e+06,0,0
7.93353e+06,6.08761e+06,0,0
7.88011e+06,6.15661e+06,0,0
7.82608e+06,6.22515e+06,0,0
7.77146e+06,6.2932e+06,0,0
7.71624e+06,6.36078e+06,0,0
7.66044e+06,6.42788e+06,0,0
7.60406e+06,6.49448e+06,0,0
7.54709e+06,6.56059e+06,0,0
7.48956e+06,6.6262e+06,0,0
7.43145e+06,6.69131e+06,0,0
7.37277e+06,6.7559e+06,0,0
7.31354e+06,6.81998e+06,0,0
7.25374e+06,6.88354e+06,0,0
7.1934e+06,6.94658e+06,0,0
7.1325e+06,7.00909e+06,0,0
7.07107e+06,7.07107e+06,0,0
7.00909e+06,7.1325e+06,0,0
6.94658e+06,7.1934e+06,0,0
6.88354e+06,7.25374e+06,0,0
6.81998e+06,7.31354e+06,0,0
6.7559e+06,7.37277e+06,0,0
6.69131e+06,7.43145e+06,0,0
6.6262e+06,7.48956e+06,0,0
6.56059e+06,7.54709e+06,0,0
6.49448e+06,7.60406e+06,0,0
6.42788e+06,7.66044e+06,0,0
6.36078e+06,7.71624e+06,0,0
6.2932e+06,7.77146e+06,0,0
6.22515e+06,7.82608e+06,0,0
6.15661e+06,7.88011e+06,0,0
6.08761e+06,7.93353e+06,0,0
6.01815e+06,7.98635e+06,0,0
5.94823e+06,8.03857e+06,0,0
5.87785e+06,8.09017e+06,0,0
5.80703e+06,8.14115e+06,0,0
5.73576e+06,8.19152e+06,0,0
5.66406e+06,8.24126e+06,0,0
5.59193e+06,8.29037e+06,0,0
5.51937e+06,8.33886e+06,0,0
5.44639e+06,8.3867e+06,0,0
5.373e+06,8.43391e+06,0,0
5.29919e+06,8.48048e+06,0,0
5.22498e+06,8.5264e+06,0,0
5.15038e+06,8.57167e+06,0,0
5.07538e+06,8.61629e+06,0,0
5e+06,8.66025e+06,0,0
4.92423e+06,8.70356e+06,0,0
4.8481e+06,8.7462e+06,0,0
4.77159e+06,8.78817e+06,0,0
4.69471e+06,8.82947e+06,0,0
4.61749e+06,8.87011e+06,0,0
4.5399e+06,8.91006e+06,0,0
4.46198e+06,8.94934e+06,0,0
4.38371e+06,8.98794e+06,0,0
4.30511e+06,9.02585e+06,0,0
4.22618e+06,9.06308e+06,0,0
4.14693e+06,9.09961e+06,0,0
4.06737e+06,9.13545e+06,0,0
