X_Axis(um/deg),Y_Axis(um),Z_Altitude(um),Intensity(%)
10000,0,0,0
9999.55,87.2647,0,0
9998.34,174.522,0,0
9996.36,261.764,0,0
9993.63,348.985,0,0
9990.14,436.179,0,0
9985.88,523.338,0,0
9980.86,610.456,0,0
9975.09,697.526,0,0
9968.55,784.542,0,0
9961.26,871.497,0,0
9953.2,958.384,0,0
9944.39,1045.2,0,0
9934.82,1131.93,0,0
9924.5,1218.57,0,0
9913.42,1305.13,0,0
9901.58,1391.58,0,0
9888.99,1477.92,0,0
9875.65,1564.15,0,0
9861.55,1650.26,0,0
9846.71,1736.24,0,0
9831.12,1822.09,0,0
9814.77,1907.8,0,0
9797.68,1993.36,0,0
9779.85,2078.77,0,0
9761.27,2164.02,0,0
9741.94,2249.1,0,0
9721.88,2334.02,0,0
9701.07,2418.75,0,0
9679.53,2503.3,0,0
9657.25,2587.65,0,0
9634.23,2671.81,0,0
9610.48,2755.76,0,0
9586,2839.5,0,0
9560.79,2923.03,0,0
9534.85,3006.33,0,0
9508.19,3089.4,0,0
9480.8,3172.23,0,0
9452.69,3254.82,0,0
9423.86,3337.16,0,0
9394.32,3419.25,0,0
9364.05,3501.08,0,0
9333.08,3582.63,0,0
9301.4,3663.92,0,0
9269.01,3744.92,0,0
9235.91,3825.64,0,0
9202.11,3906.06,0,0
9167.61,3986.19,0,0
9132.41,4066.01,0,0
9096.52,4145.52,0,0
9059.93,4224.72,0,0
9022.66,4303.59,0,0
8984.69,4382.13,0,0
8946.05,4460.34,0,0
8906.72,4538.2,0,0
8866.72,4615.72,0,0
8826.04,4692.89,0,0
8784.69,4769.7,0,0
8742.67,4846.14,0,0
8699.99,4922.22,0,0
8656.65,4997.92,0,0
8612.64,5073.23,0,0
8567.98,5148.16,0,0
8522.67,5222.7,0,0
8476.71,5296.84,0,0
8430.11,5370.57,0,0
8382.86,5443.89,0,0
8334.98,5516.8,0,0
8286.46,5589.29,0,0
8237.31,5661.35,0,0
8187.54,5732.98,0,0
8137.14,5804.17,0,0
8086.12,5874.91,0,0
8034.49,5945.21,0,0
7982.25,6015.06,0,0
7929.4,6084.44,0,0
7875.95,6153.37,0,0
7821.9,6221.82,0,0
7767.25,6289.8,0,0
7712.01,6357.29,0,0
7656.19,6424.31,0,0
7599.78,6490.83,0,0
7542.8,6556.85,0,0
7485.24,6622.38,0,0
7427.11,6687.4,0,0
7368.42,6751.91,0,0
7309.17,6815.91,0,0
7249.36,6879.39,0,0
7189,6942.34,0,0
7128.1,7004.76,0,0
7066.65,7066.65,0,0
7004.66,7128,0,0
6942.15,7188.8,0,0
6879.1,7249.06,0,0
6815.53,7308.76,0,0
6751.45,7367.91,0,0
6686.85,7426.49,0,0
6621.74,7484.51,0,0
6556.13,7541.96,0,0
6490.02,7598.83,0,0
6423.41,7655.12,0,0
6356.32,7710.83,0,0
6288.75,7765.95,0,0
6220.69,7820.48,0,0
6152.17,7874.42,0,0
6083.18,7927.75,0,0
6013.72,7980.48,0,0
5943.81,8032.6,0,0
5873.44,8084.1,0,0
5802.63,8134.99,0,0
5731.38,8185.26,0,0
5659.7,8234.91,0,0
5587.58,8283.93,0,0
5515.04,8332.31,0,0
5442.08,8380.07,0,0
5368.71,8427.18,0,0
5294.92,8473.65,0,0
5220.74,8519.47,0,0
5146.16,8564.65,0,0
5071.19,8609.17,0,0
4995.83,8653.04,0,0
4920.1,8696.24,0,0
4843.99,8738.79,0,0
4767.51,8780.66,0,0
4690.67,8821.87,0,0
4613.48,8862.41,0,0
4535.93,8902.27,0,0
4458.04,8941.45,0,0
4379.81,8979.95,0,0
4301.25,9017.77,0,0
4222.37,9054.9,0,0
4143.16,9091.33,0,0
4063.64,9127.08,0,0
3983.81,9162.13,0,0
3903.68,9196.48,0,0
3823.25,9230.13,0,0
3742.53,9263.08,0,0
3661.53,9295.32,0,0
3580.25,9326.86,0,0
3498.69,9357.68,0,0
3416.88,9387.79,0,0
3334.8,9417.18,0,0
3252.47,9445.86,0,0
3169.9,9473.82,0,0
3087.08,9501.05,0,0
3004.03,9527.57,0,0
2920.75,9553.35,0,0
2837.25,9578.41,0,0
2753.54,9602.74,0,0
2669.62,9626.33,0,0
2585.49,9649.2,0,0
2501.17,9671.32,0,0
2416.67,9692.72,0,0
2331.97,9713.37,0,0
2247.1,9733.28,0,0
2162.07,9752.45,0,0
2076.86,9770.88,0,0
1991.51,9788.56,0,0
1906,9805.5,0,0
1820.34,9821.69,0,0
1734.55,9837.14,0,0
1648.63,9851.83,0,0
1562.58,9865.77,0,0
1476.42,9878.96,0,0
1390.15,9891.4,0,0
1303.77,9903.09,0,0
1217.29,9914.02,0,0
1130.72,9924.2,0,0
1044.07,9933.62,0,0
957.333,9942.28,0,0
870.529,9950.19,0,0
783.659,9957.33,0,0
696.732,9963.73,0,0
609.752,9969.36,0,0
522.727,9974.23,0,0
435.664,9978.34,0,0
348.568,9981.69,0,0
261.448,9984.29,0,0
174.308,9986.12,0,0
87.1569,9987.19,0,0
6.11558e-13,9987.5,0,0
-87.1557,9987.05,0,0
-174.303,9985.84,0,0
-261.437,9983.87,0,0
-348.549,9981.14,0,0
-435.633,9977.65,0,0
-522.684,9973.4,0,0
-609.693,9968.39,0,0
-696.654,9962.62,0,0
-783.561,9956.09,0,0
-870.407,9948.8,0,0
-957.186,9940.76,0,0
-1043.89,9931.96,0,0
-1130.51,9922.4,0,0
-1217.05,9912.09,0,0
-1303.49,9901.02,0,0
-1389.84,9889.2,0,0
-1476.07,9876.63,0,0
-1562.19,9863.3,0,0
-1648.2,9849.23,0,0
-1734.07,9834.4,0,0
-1819.81,9818.82,0,0
-1905.41,9802.5,0,0
-1990.87,9785.43,0,0
-2076.17,9767.62,0,0
-2161.31,9749.06,0,0
-2246.29,9729.76,0,0
-2331.1,9709.72,0,0
-2415.72,9688.94,0,0
-2500.17,9667.42,0,0
-2584.42,9645.17,0,0
-2668.47,9622.18,0,0
-2752.32,9598.47,0,0
-2835.95,9574.01,0,0
-2919.37,9548.84,0,0
-3002.57,9522.93,0,0
-3085.53,9496.3,0,0
-3168.26,9468.95,0,0
-3250.75,9440.87,0,0
-3332.99,9412.08,0,0
-3414.98,9382.57,0,0
-3496.7,9352.35,0,0
-3578.15,9321.41,0,0
-3659.34,9289.77,0,0
-3740.24,9257.42,0,0
-3820.85,9224.36,0,0
-3901.18,9190.6,0,0
-3981.2,9156.14,0,0
-4060.93,9120.99,0,0
-4140.34,9085.14,0,0
-4219.43,9048.6,0,0
-4298.2,9011.37,0,0
-4376.65,8973.46,0,0
-4454.76,8934.86,0,0
-4532.53,8895.59,0,0
-4609.95,8855.63,0,0
-4687.02,8815.01,0,0
-4763.73,8773.71,0,0
-4840.08,8731.74,0,0
-4916.06,8689.11,0,0
-4991.67,8645.82,0,0
-5066.89,8601.87,0,0
-5141.73,8557.27,0,0
-5216.17,8512.01,0,0
-5290.21,8466.11,0,0
-5363.85,8419.57,0,0
-5437.09,8372.38,0,0
-5509.9,8324.55,0,0
-5582.3,8276.1,0,0
-5654.27,8227.01,0,0
-5725.81,8177.3,0,0
-5796.91,8126.96,0,0
-5867.57,8076.01,0,0
-5937.78,8024.45,0,0
-6007.53,7972.27,0,0
-6076.83,7919.48,0,0
-6145.67,7866.1,0,0
-6214.04,7812.11,0,0
-6281.93,7757.54,0,0
-6349.34,7702.37,0,0
-6416.27,7646.61,0,0
-6482.71,7590.28,0,0
-6548.65,7533.36,0,0
-6614.1,7475.88,0,0
-6679.04,7417.82,0,0
-6743.47,7359.21,0,0
-6807.39,7300.03,0,0
-6870.78,7240.29,0,0
-6933.66,7180.01,0,0
-6996,7119.18,0,0
-7057.81,7057.81,0,0
-7119.08,6995.9,0,0
-7179.81,6933.46,0,0
-7239.99,6870.5,0,0
-7299.62,6807.01,0,0
-7358.69,6743,0,0
-7417.2,6678.48,0,0
-7475.15,6613.45,0,0
-7532.53,6547.92,0,0
-7589.33,6481.9,0,0
-7645.55,6415.38,0,0
-7701.19,6348.37,0,0
-7756.24,6280.88,0,0
-7810.7,6212.91,0,0
-7864.57,6144.47,0,0
