X_Axis(um/deg),Y_Axis(um),Z_Altitude(um),Intensity(%)
-3895.05,9176.15,0,0
-3974.92,9141.69,0,0
-4054.49,9106.53,0,0
-4133.74,9070.67,0,0
-4212.68,9034.13,0,0
-4291.3,8996.89,0,0
-4369.59,8958.98,0,0
-4447.54,8920.38,0,0
-4525.15,8881.11,0,0
-4602.42,8841.16,0,0
-4679.33,8800.53,0,0
-4755.88,8759.24,0,0
-4832.07,8717.29,0,0
-4907.89,8674.67,0,0
-4983.33,8631.39,0,0
-5058.4,8587.45,0,0
-5133.07,8542.86,0,0
-5207.35,8497.63,0,0
-5281.23,8451.74,0,0
-5354.71,8405.22,0,0
-5427.78,8358.05,0,0
-5500.44,8310.25,0,0
-5572.67,8261.82,0,0
-5644.47,8212.76,0,0
-5715.85,8163.08,0,0
-5786.79,8112.77,0,0
-5857.28,8061.85,0,0
-5927.33,8010.32,0,0
-5996.92,7958.18,0,0
-6066.05,7905.44,0,0
-6134.72,7852.09,0,0
-6202.93,7798.15,0,0
-6270.65,7743.61,0,0
-6337.9,7688.49,0,0
-6404.66,7632.78,0,0
-6470.94,7576.49,0,0
-6536.72,7519.63,0,0
-6602,7462.2,0,0
-6666.77,7404.2,0,0
-6731.04,7345.64,0,0
-6794.79,7286.52,0,0
-6858.02,7226.84,0,0
-6920.73,7166.62,0,0
-6982.91,7105.86,0,0
-7044.55,7044.55,0,0
-7105.66,6982.71,0,0
-7166.22,6920.34,0,0
-7226.24,6857.45,0,0
-7285.7,6794.03,0,0
-7344.61,6730.1,0,0
-7402.96,6665.66,0,0
-7460.74,6600.71,0,0
-7517.96,6535.26,0,0
-7574.59,6469.31,0,0
-7630.65,6402.88,0,0
-7686.13,6335.96,0,0
-7741.02,6268.56,0,0
-7795.32,6200.68,0,0
-7849.02,6132.33,0,0
-7902.13,6063.52,0,0
-7954.63,5994.24,0,0
-8006.53,5924.52,0,0
-8057.81,5854.34,0,0
-8108.48,5783.72,0,0
-8158.53,5712.66,0,0
-8207.95,5641.17,0,0
-8256.75,5569.25,0,0
-8304.92,5496.91,0,0
-8352.46,5424.15,0,0
-8399.36,5350.98,0,0
-8445.62,5277.41,0,0
-8491.23,5203.43,0,0
-8536.2,5129.06,0,0
-8580.51,5054.31,0,0
-8624.17,4979.17,0,0
-8667.17,4903.65,0,0
-8709.51,4827.76,0,0
-8751.19,4751.51,0,0
-8792.2,4674.89,0,0
-8832.53,4597.93,0,0
-8872.2,4520.61,0,0
-8911.18,4442.95,0,0
-8949.49,4364.96,0,0
-8987.12,4286.63,0,0
-9024.06,4207.99,0,0
-9060.31,4129.02,0,0
-9095.87,4049.74,0,0
-9130.73,3970.16,0,0
-9164.9,3890.27,0,0
-9198.38,3810.09,0,0
-9231.15,3729.62,0,0
-9263.21,3648.88,0,0
-9294.57,3567.85,0,0
-9325.22,3486.56,0,0
-9355.16,3405,0,0
-9384.39,3323.19,0,0
-9412.9,3241.12,0,0
-9440.69,3158.81,0,0
-9467.77,3076.26,0,0
-9494.12,2993.48,0,0
-9519.75,2910.48,0,0
-9544.65,2827.25,0,0
-9568.83,2743.82,0,0
-9592.27,2660.17,0,0
-9614.99,2576.33,0,0
-9636.97,2492.29,0,0
-9658.22,2408.06,0,0
-9678.73,2323.66,0,0
-9698.5,2239.08,0,0
-9717.54,2154.33,0,0
-9735.83,2069.41,0,0
-9753.38,1984.35,0,0
-9770.19,1899.13,0,0
-9786.25,1813.77,0,0
-9801.57,1728.28,0,0
-9816.14,1642.66,0,0
-9829.97,1556.91,0,0
-9843.04,1471.05,0,0
-9855.37,1385.08,0,0
-9866.94,1299.01,0,0
-9877.76,1212.84,0,0
-9887.83,1126.58,0,0
-9897.15,1040.23,0,0
-9905.71,953.812,0,0
-9913.52,867.321,0,0
-9920.57,780.766,0,0
-9926.87,694.154,0,0
-9932.41,607.492,0,0
-9937.2,520.786,0,0
-9941.22,434.043,0,0
-9944.49,347.269,0,0
-9947.01,260.472,0,0
-9948.76,173.656,0,0
-9949.76,86.8302,0,0
-9950,1.21852e-12,0,0
-9949.48,-86.8278,0,0
-9948.21,-173.647,0,0
-9946.17,-260.45,0,0
-9943.38,-347.231,0,0
-9939.84,-433.983,0,0
-9935.53,-520.699,0,0
-9930.47,-607.374,0,0
-9924.65,-693.999,0,0
-9918.08,-780.57,0,0
-9910.75,-867.079,0,0
-9902.67,-953.519,0,0
-9893.84,-1039.88,0,0
-9884.25,-1126.17,0,0
-9873.9,-1212.36,0,0
-9862.81,-1298.46,0,0
-9850.97,-1384.46,0,0
-9838.37,-1470.35,0,0
-9825.03,-1556.13,0,0
-9810.94,-1641.79,0,0
-9796.1,-1727.32,0,0
-9780.52,-1812.71,0,0
